6 0
6 1 45
6 2 24 35
6 2 34 35
6 2 34 45
6 2 35 45
6 3 03 14 25
6 3 13 14 25
6 3 13 24 45
6 3 14 25 34
6 3 23 24 25
6 3 23 24 45
6 3 23 34 35
6 3 23 34 45
6 3 24 25 34
6 3 24 34 45
6 3 25 34 45
6 3 25 35 45
6 4 02 03 04 15
6 4 02 03 14 15
6 4 02 03 14 45
6 4 02 13 14 45
6 4 02 13 24 35
6 4 02 13 34 35
6 4 02 13 34 45
6 4 03 04 15 23
6 4 03 04 15 25
6 4 03 13 24 45
6 4 03 14 24 45
6 4 03 15 24 45
6 4 04 15 24 34
6 4 04 15 24 35
6 4 12 13 14 15
6 4 12 13 14 45
6 4 12 13 24 35
6 4 12 13 34 35
6 4 12 13 34 45
6 4 12 23 24 25
6 4 12 23 24 45
6 4 12 23 34 35
6 4 12 23 34 45
6 4 13 14 15 23
6 4 13 14 23 25
6 4 13 15 24 45
6 4 13 23 24 45
6 4 13 23 34 35
6 4 13 23 34 45
6 4 13 24 35 45
6 4 14 15 24 34
6 4 14 15 24 35
6 4 14 23 24 45
6 4 14 23 34 35
6 4 14 23 34 45
6 4 14 24 34 45
6 4 15 23 24 45
6 4 15 23 34 45
6 4 15 24 34 45
6 4 15 25 34 45
6 4 15 25 35 45
6 4 23 24 35 45
6 4 24 25 34 35
6 5 01 02 03 04 05
6 5 01 02 03 04 45
6 5 01 02 03 24 35
6 5 01 02 03 34 35
6 5 01 02 03 34 45
6 5 01 02 13 14 25
6 5 01 02 13 24 45
6 5 01 02 23 24 25
6 5 01 02 23 24 45
6 5 01 02 23 34 35
6 5 01 02 23 34 45
6 5 01 12 13 14 15
6 5 01 12 13 14 45
6 5 01 12 13 24 35
6 5 01 12 13 34 35
6 5 01 12 13 34 45
6 5 01 12 23 24 25
6 5 01 12 23 24 45
6 5 01 12 23 34 35
6 5 01 12 23 34 45
6 5 02 03 04 05 12
6 5 02 03 04 12 15
6 5 02 03 05 14 45
6 5 02 03 12 14 45
6 5 02 03 12 24 35
6 5 02 04 13 14 45
6 5 02 04 13 34 35
6 5 02 04 13 34 45
6 5 02 05 13 14 45
6 5 02 05 13 34 45
6 5 02 12 13 14 45
6 5 02 12 13 34 35
6 5 02 12 13 34 45
6 5 02 12 23 24 25
6 5 02 12 23 24 45
6 5 02 12 23 34 35
6 5 02 12 23 34 45
6 5 02 13 14 24 35
6 5 02 13 14 35 45
6 5 02 13 24 25 34
6 5 02 13 24 34 45
6 5 02 13 25 34 45
6 5 03 04 05 13 23
6 5 03 04 05 13 24
6 5 03 04 13 14 25
6 5 03 04 13 15 23
6 5 03 04 13 15 24
6 5 03 05 13 24 45
6 5 03 05 14 24 45
6 5 03 05 15 24 45
6 5 03 12 13 34 35
6 5 03 12 13 34 45
6 5 03 12 14 35 45
6 5 03 12 23 24 25
6 5 03 12 23 24 45
6 5 03 12 23 34 35
6 5 03 12 23 34 45
6 5 03 13 23 24 45
6 5 03 13 23 34 35
6 5 03 13 23 34 45
6 5 03 14 23 24 45
6 5 03 14 23 35 45
6 5 03 15 23 24 45
6 5 04 05 14 24 34
6 5 04 05 14 25 34
6 5 04 12 13 14 45
6 5 04 12 13 24 35
6 5 04 12 13 34 35
6 5 04 12 13 34 45
6 5 04 12 23 24 45
6 5 04 12 23 34 35
6 5 04 12 23 34 45
6 5 04 13 23 34 35
6 5 04 13 23 34 45
6 5 04 14 23 24 45
6 5 04 14 23 34 35
6 5 04 14 23 34 45
6 5 04 14 24 34 45
6 5 04 15 23 34 35
6 5 05 12 13 14 45
6 5 05 12 13 34 45
6 5 05 12 23 24 45
6 5 05 12 23 34 45
6 5 05 13 23 34 45
6 5 05 13 24 35 45
6 5 05 14 23 24 45
6 5 05 14 23 34 45
6 5 05 14 24 34 45
6 5 05 15 23 24 45
6 5 05 15 23 34 45
6 5 05 15 24 34 45
6 5 05 15 25 34 45
6 5 05 15 25 35 45
6 5 12 13 14 35 45
6 5 12 13 24 25 34
6 5 12 13 24 34 45
6 5 12 13 25 34 45
6 5 12 23 24 35 45
6 5 13 14 15 23 24
6 5 13 14 23 24 45
6 5 13 14 23 35 45
