7 0
7 1 56
7 2 35 46
7 2 45 46
7 2 45 56
7 2 46 56
7 3 14 25 36
7 3 24 25 36
7 3 24 35 56
7 3 25 36 45
7 3 34 35 36
7 3 34 35 56
7 3 34 45 46
7 3 34 45 56
7 3 35 36 45
7 3 35 45 56
7 3 36 45 56
7 3 36 46 56
7 4 03 04 15 26
7 4 03 14 25 56
7 4 04 15 26 34
7 4 13 14 15 26
7 4 13 14 25 26
7 4 13 14 25 56
7 4 13 24 25 56
7 4 13 24 35 46
7 4 13 24 45 46
7 4 13 24 45 56
7 4 14 15 26 34
7 4 14 15 26 36
7 4 14 24 35 56
7 4 14 25 35 56
7 4 14 26 35 56
7 4 15 26 35 45
7 4 15 26 35 46
7 4 23 24 25 26
7 4 23 24 25 56
7 4 23 24 35 46
7 4 23 24 45 46
7 4 23 24 45 56
7 4 23 34 35 36
7 4 23 34 35 56
7 4 23 34 45 46
7 4 23 34 45 56
7 4 24 25 26 34
7 4 24 25 34 36
7 4 24 26 35 56
7 4 24 34 35 56
7 4 24 34 45 46
7 4 24 34 45 56
7 4 24 35 46 56
7 4 25 26 35 45
7 4 25 26 35 46
7 4 25 34 35 56
7 4 25 34 45 46
7 4 25 34 45 56
7 4 25 35 45 56
7 4 26 34 35 56
7 4 26 34 45 56
7 4 26 35 45 56
7 4 26 36 45 56
7 4 26 36 46 56
7 4 34 35 46 56
7 4 35 36 45 46
7 5 02 03 04 05 16
7 5 02 03 04 15 16
7 5 02 03 04 15 56
7 5 02 03 14 15 56
7 5 02 03 14 45 46
7 5 02 03 14 45 56
7 5 02 13 14 15 56
7 5 02 13 14 35 46
7 5 02 13 14 45 46
7 5 02 13 14 45 56
7 5 02 13 24 25 36
7 5 02 13 24 35 56
7 5 02 13 34 35 36
7 5 02 13 34 35 56
7 5 02 13 34 45 46
7 5 02 13 34 45 56
7 5 03 04 05 16 23
7 5 03 04 05 16 26
7 5 03 04 13 15 26
7 5 03 04 13 25 56
7 5 03 04 15 16 23
7 5 03 04 15 25 56
7 5 03 04 16 25 56
7 5 03 06 14 25 56
7 5 03 12 14 35 46
7 5 03 13 24 25 56
7 5 03 13 24 45 46
7 5 03 13 24 45 56
7 5 03 14 23 25 56
7 5 03 14 23 35 46
7 5 03 14 24 45 46
7 5 03 14 24 45 56
7 5 03 14 25 46 56
7 5 03 15 24 25 56
7 5 03 15 24 45 46
7 5 03 15 24 45 56
7 5 03 16 24 25 56
7 5 03 16 24 45 56
7 5 04 05 16 24 34
7 5 04 05 16 24 35
7 5 04 05 16 24 36
7 5 04 05 16 26 36
7 5 04 14 24 35 56
7 5 04 14 25 35 56
7 5 04 15 25 35 56
7 5 04 16 24 35 56
7 5 04 16 25 35 56
7 5 04 16 26 35 56
7 5 05 13 24 35 46
7 5 05 16 25 35 45
7 5 05 16 25 36 45
