8 0
8 1 67
8 2 46 57
8 2 56 57
8 2 56 67
8 2 57 67
8 3 25 36 47
8 3 35 36 47
8 3 35 46 67
8 3 36 47 56
8 3 45 46 47
8 3 45 46 67
8 3 45 56 57
8 3 45 56 67
8 3 46 47 56
8 3 46 56 67
8 3 47 56 67
8 3 47 57 67
8 4 04 15 26 37
8 4 14 15 26 37
8 4 14 25 36 67
8 4 15 26 37 45
8 4 24 25 26 37
8 4 24 25 36 37
8 4 24 25 36 67
8 4 24 35 36 67
8 4 24 35 46 57
8 4 24 35 56 57
8 4 24 35 56 67
8 4 25 26 37 45
8 4 25 26 37 47
8 4 25 35 46 67
8 4 25 36 46 67
8 4 25 37 46 67
8 4 26 37 46 56
8 4 26 37 46 57
8 4 34 35 36 37
8 4 34 35 36 67
8 4 34 35 46 57
8 4 34 35 56 57
8 4 34 35 56 67
8 4 34 45 46 47
8 4 34 45 46 67
8 4 34 45 56 57
8 4 34 45 56 67
8 4 35 36 37 45
8 4 35 36 45 47
8 4 35 37 46 67
8 4 35 45 46 67
8 4 35 45 56 57
8 4 35 45 56 67
8 4 35 46 57 67
8 4 36 37 46 56
8 4 36 37 46 57
8 4 36 45 46 67
8 4 36 45 56 57
8 4 36 45 56 67
8 4 36 46 56 67
8 4 37 45 46 67
8 4 37 45 56 67
8 4 37 46 56 67
8 4 37 47 56 67
8 4 37 47 57 67
8 4 45 46 57 67
8 4 46 47 56 57
8 5 03 04 05 16 27
8 5 03 04 15 16 27
8 5 03 04 15 26 67
8 5 03 14 25 26 67
8 5 03 14 25 46 57
8 5 03 14 25 56 57
8 5 03 14 25 56 67
8 5 04 05 16 27 34
8 5 04 05 16 27 36
8 5 04 15 24 36 67
8 5 04 15 26 36 67
8 5 04 15 27 36 67
8 5 05 16 27 35 45
8 5 05 16 27 35 46
8 5 13 14 15 16 27
8 5 13 14 15 26 27
8 5 13 14 15 26 67
8 5 13 14 25 26 67
8 5 13 14 25 56 57
8 5 13 14 25 56 67
8 5 13 24 25 26 67
8 5 13 24 25 46 57
8 5 13 24 25 56 57
8 5 13 24 25 56 67
8 5 13 24 35 36 47
8 5 13 24 35 46 67
8 5 13 24 45 46 47
8 5 13 24 45 46 67
8 5 13 24 45 56 57
8 5 13 24 45 56 67
8 5 14 15 16 27 34
8 5 14 15 16 27 37
8 5 14 15 24 26 37
8 5 14 15 24 36 67
8 5 14 15 26 27 34
8 5 14 15 26 36 67
8 5 14 15 27 36 67
8 5 14 17 25 36 67
8 5 14 23 25 46 57
8 5 14 24 35 36 67
8 5 14 24 35 56 57
8 5 14 24 35 56 67
8 5 14 25 34 36 67
8 5 14 25 34 46 57
8 5 14 25 35 56 57
8 5 14 25 35 56 67
8 5 14 25 36 57 67
8 5 14 26 35 36 67
8 5 14 26 35 56 57
8 5 14 26 35 56 67
8 5 14 27 35 36 67
